"","Geneid","2i_counts","S_counts"
"524","1700096J18Rik",0,0
"525","1700096K18Rik",57,11.5
"526","1700097M23Rik",0,0.5
"527","1700097N02Rik",405,85
"528","1700099I09Rik",0,0.5
"529","1700100I10Rik",0.5,0
"530","1700100L14Rik",0,0
"531","1700101I11Rik",0,0.5
"532","1700101I19Rik",0,0
"533","1700101O22Rik",0,0.5
"534","1700102F20Rik",0,0
"535","1700102H20Rik",8.5,2.5
"536","1700102P08Rik",28.5,14.5
"537","1700104B16Rik",0,0
"538","1700104L18Rik",0,1.5
"539","1700105G05Rik",0,0
"540","1700105P06Rik",4.5,4
"541","1700106O07Rik",0,0
"542","1700108F19Rik",2,1.5
"543","1700108J01Rik",0.5,0
"544","1700108N06Rik",0,0
"545","1700108N11Rik",0,0.5
"546","1700109G14Rik",11.5,15
"547","1700109G15Rik",0,0
"548","1700109H08Rik",76.5,40.5
"549","1700109I08Rik",0,0
"550","1700109K24Rik",23,17.5
"551","1700110C19Rik",0.5,0.5
"552","1700110I01Rik",0,0.5
"553","1700110I07Rik",0,0
"554","1700110K17Rik",1,0
"555","1700111E14Rik",0,0
"556","1700111N16Rik",0,0
"557","1700112D23Rik",0,2
"558","1700112H15Rik",0,1
"559","1700112J05Rik",0,0
"560","1700112J16Rik",2,1.5
"561","1700112K13Rik",0,0
"562","1700112L15Rik",0.5,0
"563","1700112M02Rik",0,0
"564","1700113A16Rik",13,10.5
"565","1700113B09Rik",0.5,0.5
"566","1700113B19Rik",0,0
"567","1700113H08Rik",0,0
"568","1700116B05Rik",0,1
"569","1700116H05Rik",0.5,0
"570","1700119H24Rik",0.5,0
"571","1700119I11Rik",0,0
"572","1700120B22Rik",0.5,0
"573","1700120C14Rik",6.5,5.5
"574","1700120C18Rik",0,0
"575","1700120E14Rik",0,0
"576","1700120G07Rik",0.5,0
"577","1700120G11Rik",0,0
"578","1700120K04Rik",0,0
"579","1700120O09Rik",0,0
"580","1700121C08Rik",0,0
"581","1700121L03Rik",0,0
"582","1700121L16Rik",0,0
"583","1700121N20Rik",0,1
"584","1700122C19Rik",1,0
"585","1700122D07Rik",0,0
"586","1700122E12Rik",4,4.5
"587","1700122H20Rik",0,0.5
"588","1700122O11Rik",0,0
"589","1700123J17Rik",4,1.5
"590","1700123K08Rik",0,0.5
"591","1700123L14Rik",3,5
"592","1700123M08Rik",2,15
"593","1700123O12Rik",0,0
"594","1700123O20Rik",659.5,659
"595","1700123O21Rik",0,0
"596","1700124L16Rik",7.5,1.5
"597","1700124M09Rik",0,0
"598","1700125G02Rik",0,0
"599","1700125G22Rik",0,1.5
"600","1700125H03Rik",0.5,0.5
"601","1700125H20Rik",6,0
"602","1700126A01Rik",0,0
"603","1700126G02Rik",4,5
"604","1700126H18Rik",0,0
"605","1700127F24Rik",0,0
"606","1700128A07Rik",0,0
"607","1700128E19Rik",0,0
"608","1700128F08Rik",2,0.5
"609","1700128I11Rik",0,0
"610","1700129C05Rik",0,0
"611","1700129L04Rik",0,0
"612","1810006J02Rik",0,0
"613","1810007C17Rik",0,0
"614","1810007D17Rik",3,0.5
"615","1810008B01Rik",0,0
"616","1810008I18Rik",0,0
"617","1810009A15Rik",23,8
"618","1810009J06Rik",0,0.5
"619","1810010H24Rik",25,38
